 v_i      u      x      Error   
3.662e-07 0.340906 0.0494951 0.999999
3.65834e-07 0.341415 0.049595 0.999999
3.65469e-07 0.341924 0.049695 0.999999
3.65103e-07 0.342432 0.049795 0.999999
3.64738e-07 0.342939 0.049895 0.999999
3.64374e-07 0.343446 0.049995 0.999999
3.6401e-07 0.343952 0.050095 0.999999
3.63646e-07 0.344458 0.050195 0.999999
3.63282e-07 0.344963 0.050295 0.999999
3.62919e-07 0.345467 0.050395 0.999999
3.62557e-07 0.345971 0.050495 0.999999
3.62194e-07 0.346474 0.0505949 0.999999
3.61832e-07 0.346977 0.0506949 0.999999
3.61471e-07 0.347479 0.0507949 0.999999
3.6111e-07 0.34798 0.0508949 0.999999
3.60749e-07 0.348481 0.0509949 0.999999
3.60388e-07 0.348981 0.0510949 0.999999
3.60028e-07 0.349481 0.0511949 0.999999
3.59668e-07 0.34998 0.0512949 0.999999
3.59309e-07 0.350478 0.0513949 0.999999
3.5895e-07 0.350976 0.0514949 0.999999
3.58591e-07 0.351473 0.0515948 0.999999
3.58232e-07 0.35197 0.0516948 0.999999
3.57874e-07 0.352466 0.0517948 0.999999
3.57517e-07 0.352961 0.0518948 0.999999
3.57159e-07 0.353456 0.0519948 0.999999
3.56803e-07 0.35395 0.0520948 0.999999
3.56446e-07 0.354444 0.0521948 0.999999
3.5609e-07 0.354937 0.0522948 0.999999
3.55734e-07 0.355429 0.0523948 0.999999
3.55378e-07 0.355921 0.0524948 0.999999
3.55023e-07 0.356412 0.0525947 0.999999
3.54668e-07 0.356903 0.0526947 0.999999
3.54314e-07 0.357393 0.0527947 0.999999
3.5396e-07 0.357883 0.0528947 0.999999
3.53606e-07 0.358372 0.0529947 0.999999
3.53253e-07 0.35886 0.0530947 0.999999
3.529e-07 0.359348 0.0531947 0.999999
3.52547e-07 0.359835 0.0532947 0.999999
3.52195e-07 0.360321 0.0533947 0.999999
3.51843e-07 0.360807 0.0534947 0.999999
3.51491e-07 0.361293 0.0535946 0.999999
3.5114e-07 0.361777 0.0536946 0.999999
3.50789e-07 0.362261 0.0537946 0.999999
3.50438e-07 0.362745 0.0538946 0.999999
3.50088e-07 0.363228 0.0539946 0.999999
3.49738e-07 0.363711 0.0540946 0.999999
3.49389e-07 0.364192 0.0541946 0.999999
3.49039e-07 0.364674 0.0542946 0.999999
3.48691e-07 0.365154 0.0543946 0.999999
3.48342e-07 0.365635 0.0544946 0.999999
3.47994e-07 0.366114 0.0545945 0.999999
3.47646e-07 0.366593 0.0546945 0.999999
3.47299e-07 0.367071 0.0547945 0.999999
3.46952e-07 0.367549 0.0548945 0.999999
3.46605e-07 0.368026 0.0549945 0.999999
3.46258e-07 0.368503 0.0550945 0.999999
3.45912e-07 0.368979 0.0551945 0.999999
3.45567e-07 0.369455 0.0552945 0.999999
3.45221e-07 0.36993 0.0553945 0.999999
3.44876e-07 0.370404 0.0554945 0.999999
3.44532e-07 0.370878 0.0555944 0.999999
3.44187e-07 0.371351 0.0556944 0.999999
3.43843e-07 0.371824 0.0557944 0.999999
3.435e-07 0.372296 0.0558944 0.999999
3.43156e-07 0.372767 0.0559944 0.999999
3.42813e-07 0.373238 0.0560944 0.999999
3.42471e-07 0.373708 0.0561944 0.999999
3.42129e-07 0.374178 0.0562944 0.999999
3.41787e-07 0.374647 0.0563944 0.999999
3.41445e-07 0.375116 0.0564944 0.999999
3.41104e-07 0.375584 0.0565943 0.999999
3.40763e-07 0.376052 0.0566943 0.999999
3.40422e-07 0.376518 0.0567943 0.999999
3.40082e-07 0.376985 0.0568943 0.999999
3.39742e-07 0.377451 0.0569943 0.999999
3.39403e-07 0.377916 0.0570943 0.999999
3.39064e-07 0.378381 0.0571943 0.999999
3.38725e-07 0.378845 0.0572943 0.999999
3.38386e-07 0.379308 0.0573943 0.999999
3.38048e-07 0.379771 0.0574943 0.999999
3.3771e-07 0.380234 0.0575942 0.999999
